Time (s),Force (N),Position (m)
0,-0.137,0.262
0.01,-0.13,0.2615
0.02,-0.128,0.2613
0.03,-0.128,0.2613
0.04,-0.126,0.2613
0.05,-0.13,0.2613
0.06,-0.13,0.2613
0.07,-0.128,0.2613
0.08,-0.13,0.2613
0.09,-0.131,0.2613
0.1,-0.128,0.2613
0.11,-0.128,0.2613
0.12,-0.128,0.2613
0.13,-0.13,0.2611
0.14,-0.131,0.2611
0.15,-0.13,0.2611
0.16,-0.13,0.2611
0.17,-0.13,0.2611
0.18,-0.13,0.2611
0.19,-0.13,0.2611
0.2,-0.126,0.2611
0.21,-0.128,0.2611
0.22,-0.133,0.2611
0.23,-0.13,0.2611
0.24,-0.126,0.2611
0.25,-0.131,0.2611
0.26,-0.131,0.2611
0.27,-0.131,0.2611
0.28,-0.131,0.2611
0.29,-0.13,0.2611
0.3,-0.128,0.2611
0.31,-0.128,0.2611
0.32,-0.128,0.2611
0.33,-0.128,0.2611
0.34,-0.13,0.2611
0.35,-0.128,0.2611
0.36,-0.13,0.2611
0.37,-0.126,0.2611
0.38,-0.13,0.2611
0.39,-0.128,0.2611
0.4,-0.13,0.2611
0.41,-0.128,0.2611
0.42,-0.126,0.2611
0.43,-0.128,0.2611
0.44,-0.128,0.2611
0.45,-0.128,0.2611
0.46,-0.126,0.2611
0.47,-0.126,0.2611
0.48,-0.126,0.2611
0.49,-0.13,0.2611
0.5,-0.13,0.2611
0.51,-0.128,0.2611
0.52,-0.13,0.2611
0.53,-0.131,0.2611
0.54,-0.131,0.2611
0.55,-0.128,0.2611
0.56,-0.13,0.2611
0.57,-0.128,0.2611
0.58,-0.13,0.2611
0.59,-0.13,0.2611
0.6,-0.128,0.2611
0.61,-0.13,0.2611
0.62,-0.135,0.2611
0.63,-0.133,0.2611
0.64,-0.133,0.2611
0.65,-0.13,0.2611
0.66,-0.13,0.2611
0.67,-0.13,0.2611
0.68,-0.131,0.2611
0.69,-0.13,0.2611
0.7,-0.131,0.2611
0.71,-0.131,0.2611
0.72,-0.137,0.2611
0.73,-0.133,0.2611
0.74,-0.133,0.2611
0.75,-0.131,0.2611
0.76,-0.131,0.2611
0.77,-0.13,0.2611
0.78,-0.13,0.2611
0.79,-0.13,0.2611
0.8,-0.13,0.2611
0.81,-0.13,0.2611
0.82,-0.13,0.2611
0.83,-0.13,0.2611
0.84,-0.131,0.2611
0.85,-0.13,0.2611
0.86,-0.131,0.2611
0.87,-0.13,0.2611
0.88,-0.131,0.2611
0.89,-0.135,0.2611
0.9,-0.133,0.2611
0.91,-0.131,0.2611
0.92,-0.131,0.2611
0.93,-0.135,0.2611
0.94,-0.133,0.2611
0.95,-0.133,0.2611
0.96,-0.13,0.2611
0.97,-0.131,0.2611
0.98,-0.131,0.2611
0.99,-0.131,0.2611
1,-0.13,0.2611
1.01,-0.133,0.2611
1.02,-0.131,0.2611
1.03,-0.13,0.2611
1.04,-0.13,0.2611
1.05,-0.131,0.2611
1.06,-0.133,0.2611
1.07,-0.135,0.2611
1.08,-0.133,0.2611
1.09,-0.133,0.2611
1.1,-0.131,0.2611
1.11,-0.131,0.2611
1.12,-0.13,0.2611
1.13,-0.131,0.2611
1.14,-0.131,0.2611
1.15,-0.131,0.2611
1.16,-0.131,0.2611
1.17,-0.131,0.2611
1.18,-0.131,0.2611
1.19,-0.133,0.2611
1.2,-0.133,0.2611
1.21,-0.137,0.2611
1.22,-0.135,0.2611
1.23,-0.135,0.2611
1.24,-0.133,0.2611
1.25,-0.137,0.2611
1.26,-0.135,0.2611
1.27,-0.137,0.2611
1.28,-0.138,0.2611
1.29,-0.138,0.2611
1.3,-0.142,0.2611
1.31,-0.145,0.2611
1.32,-0.145,0.2611
1.33,-0.158,0.2611
1.34,-0.175,0.2611
1.35,-0.221,0.2613
1.36,-0.311,0.2613
1.37,-0.376,0.2614
1.38,-0.343,0.2618
1.39,-0.249,0.2621
1.4,-0.191,0.2624
1.41,-0.172,0.2628
1.42,-0.166,0.2631
1.43,-0.17,0.2635
1.44,-0.194,0.2636
1.45,-0.268,0.264
1.46,-0.371,0.2642
1.47,-0.446,0.2644
1.48,-0.434,0.2645
1.49,-0.364,0.2649
1.5,-0.313,0.265
1.51,-0.322,0.2654
1.52,-0.374,0.2656
1.53,-0.453,0.2656
1.54,-0.502,0.2657
1.55,-0.502,0.2659
1.56,-0.478,0.2661
1.57,-0.458,0.2662
1.58,-0.472,0.2664
1.59,-0.519,0.2666
1.6,-0.582,0.2668
1.61,-0.626,0.2669
1.62,-0.645,0.2671
1.63,-0.649,0.2673
1.64,-0.651,0.2676
1.65,-0.663,0.268
1.66,-0.691,0.2681
1.67,-0.734,0.2685
1.68,-0.776,0.2688
1.69,-0.817,0.2692
1.7,-0.841,0.2695
1.71,-0.86,0.27
1.72,-0.89,0.2705
1.73,-0.948,0.2709
1.74,-1.005,0.2714
1.75,-1.045,0.2721
1.76,-1.061,0.2726
1.77,-1.07,0.2733
1.78,-1.077,0.2738
1.79,-1.124,0.2743
1.8,-1.19,0.2748
1.81,-1.257,0.2753
1.82,-1.315,0.2758
1.83,-1.35,0.2765
1.84,-1.379,0.2771
1.85,-1.416,0.2776
1.86,-1.468,0.2781
1.87,-1.523,0.2786
1.88,-1.571,0.2791
1.89,-1.605,0.2796
1.9,-1.647,0.2802
1.91,-1.687,0.2805
1.92,-1.732,0.281
1.93,-1.772,0.2815
1.94,-1.816,0.2819
1.95,-1.86,0.2824
1.96,-1.893,0.2827
1.97,-1.921,0.2833
1.98,-1.951,0.2836
1.99,-1.987,0.2839
2,-2.031,0.2843
2.01,-2.071,0.2846
2.02,-2.111,0.285
2.03,-2.174,0.2853
2.04,-2.23,0.2857
2.05,-2.286,0.286
2.06,-2.314,0.2865
2.07,-2.332,0.2869
2.08,-2.354,0.2874
2.09,-2.386,0.2877
2.1,-2.424,0.2882
2.11,-2.47,0.2888
2.12,-2.515,0.2891
2.13,-2.55,0.2896
2.14,-2.592,0.2899
2.15,-2.643,0.2905
2.16,-2.676,0.291
2.17,-2.7,0.2913
2.18,-2.7,0.2918
2.19,-2.72,0.2924
2.2,-2.768,0.2927
2.21,-2.833,0.293
2.22,-2.9,0.2936
2.23,-2.952,0.2939
2.24,-3.004,0.2944
2.25,-3.038,0.2948
2.26,-3.064,0.2951
2.27,-3.097,0.2957
2.28,-3.146,0.2957
2.29,-3.195,0.2975
2.3,-3.235,0.2979
2.31,-3.291,0.2984
2.32,-3.338,0.2987
2.33,-3.38,0.2991
2.34,-3.422,0.2996
2.35,-3.509,0.2999
2.36,-3.581,0.3003
2.37,-3.613,0.3008
2.38,-3.647,0.3013
2.39,-3.668,0.3018
2.4,-3.707,0.3023
2.41,-3.773,0.3027
2.42,-3.831,0.3032
2.43,-3.878,0.3035
2.44,-3.922,0.3041
2.45,-3.976,0.3044
2.46,-4.037,0.3049
2.47,-4.112,0.3053
2.48,-4.172,0.3058
2.49,-4.168,0.3063
2.5,-4.173,0.3068
2.51,-4.191,0.3071
