Mass (kg),Speed (m/s),Height (cm),Distance (cm)
0.7538,0.402,12.5,20
0.7538,0.53,11.25,30
0.7538,0.629,10,40
0.7538,0.712,8.75,50
0.7538,0.788,7.5,60
0.7538,0.847,6.25,70
0.7538,0.93,5,80
