Mass (kg),Speed (m/s),Height (cm),Distance (cm)
0.2624,0.419,12.5,20
0.2624,0.52,11.25,30
0.2624,0.624,10,40
0.2624,0.702,8.75,50
0.2624,0.79,7.5,60
0.2624,0.865,6.25,70
0.2624,0.931,5,80
